DATE,NATIONAL_AUCTION_SALES,NATIONAL_TOTAL_SALES,TEXAS_AUCTION_SALES,avg_price_steers_ML1,avg_price_steers_ML1_2,avg_price_heifers_ML1,avg_price_heifers_ML1_2,AVG_PRICE_AUCTION,CORN_FUTURES_TYPICAL_PRICE,FEEDER_CATTLE_FUTURES_TYPICAL_PRICE,US_MXN_RATES,CPI_US,DIESEL_RETAIL_PRICE,FEDERAL_INTEREST_RATE
2017-11-03,331900.0,401300.0,7900.0,170.71,147.06,156.33,139.98,153.52,3.489166667,1.605916667,19.194,246.669,2.819,1.15
2017-11-10,358200.0,403800.0,8400.0,162.35,155.06,147.18,134.76,149.8375,3.4611666667999996,1.5883666666,19.07816,246.669,2.882,1.16
2017-11-17,320200.0,349000.0,9500.0,163.44,147.48,148.66,134.15,148.4325,3.3958333332,1.5683999998,19.1005,246.669,2.915,1.16
2017-11-24,89800.0,101900.0,800.0,164.69,133.68333333333334,146.84666666666666,137.5,151.095,3.44104166675,1.5176041665,18.71374,246.669,2.912,1.16
2017-12-01,257400.0,306100.0,2200.0,158.24,119.88666666666667,145.03333333333333,138.22,138.22,3.3993333336,1.5385333334,18.58794,246.524,2.926,1.16
2017-12-08,334300.0,354400.0,3200.0,151.79,106.09,143.22,134.47,133.8925,3.4000000002,1.4725,18.819300000000002,246.524,2.922,1.15
2017-12-15,243800.0,284100.0,6800.0,150.44,138.53,144.07,131.68,141.18,3.3938333334,1.4635,19.1014,246.524,2.91,1.16
2017-12-22,133600.0,157000.0,3300.0,150.12,142.59,138.76,132.14,140.9025,3.4918333334,1.4416333334,19.3333,246.524,2.901,1.41
2017-12-29,124800.0,150000.0,3400.0,149.965,143.57999999999998,140.64499999999998,133.76999999999998,143.26958335,3.52062499975,1.4495624999999999,19.72896,246.524,2.903,1.42
2018-01-05,116000.0,143000.0,3500.0,149.81,144.57,142.53,135.4,145.6366667,3.52187499975,1.48656250025,19.39904,247.867,2.973,1.37
2018-01-12,372300.0,530300.0,9800.0,146.57,136.46,134.49,137.03,138.6375,3.4851666666,1.44885,19.20744,247.867,2.996,1.42
