DATE,NATIONAL_AUCTION_SALES,NATIONAL_TOTAL_SALES,TEXAS_AUCTION_SALES,avg_price_steers_ML1,avg_price_steers_ML1_2,avg_price_heifers_ML1,avg_price_heifers_ML1_2,AVG_PRICE_AUCTION
2/28/2020,202700,270900,4200,148.19,152.73,133.77,131.26,141.4875
3/6/2020,179900,254200,4100,143.04,149.91,132.75,135.2,140.225
3/13/2020,198200,222100,4300,126.8,138.68,121.46,116.86,125.95
3/20/2020,59000,85700,600,,134.78,142.25,131.13,136.0533333
3/27/2020,87200,113400,2500,127.02,139.14,129.02,122.07,129.3125
4/3/2020,179100,201100,4400,127.31,124.19,113.74,119.86,121.275
4/10/2020,112900,181100,3900,128.34,105.48,120.34,118.4,118.14
4/17/2020,98800,195200,3400,139.05,126.88,120.62,115.29,125.46
4/24/2020,158100,222900,5800,124.1,124.15,110.85,111.98,117.77
5/1/2020,219200,296000,5300,134.77,120.33,124.62,104.77,121.1225
5/8/2020,182100,295100,5100,124.77,112.93,117.91,111.02,116.6575
5/15/2020,171000,281600,4800,118.65,130.15,119.4,117.79,121.4975
5/22/2020,204800,257800,5500,122.67,128.68,121.97,109.41,120.6825
5/29/2020,138200,237800,5800,125.84,126,120.49,113.1,121.3575
6/5/2020,207100,305200,7400,131.78,125.36,123.78,117.72,124.66
6/12/2020,160300,240400,4000,159.81,124,177.68,119.06,145.1375
6/19/2020,160400,216600,4800,131.5,120.1,117.79,117.85,121.81
6/26/2020,155900,271500,4200,133.47,120.34,124.19,114.31,123.0775
7/2/2020,83700,159200,400,,,,115,115
7/10/2020,,,4300,137.9,125.31,128.55,121.43,128.2975
7/17/2020,149100,570600,3600,146.31,135.08,133.47,124.82,134.92
7/24/2020,128100,304200,3800,153.03,134,131.06,121.55,134.91
7/31/2020,136100,185000,4100,156.47,131.34,140.01,122.25,137.5175
8/7/2020,171800,499600,3600,161.88,142.46,140.61,130.89,143.96
8/14/2020,158100,231600,3800,160.11,148.46,141.52,130.63,145.18
8/21/2020,160400,283100,5100,146.06,140.89,134.91,135.3,139.29
8/28/2020,156200,475200,5200,149.01,134.41,123.29,125.4,133.0275
9/4/2020,160800,193900,3500,141.81,131.41,125.74,122.34,130.325
9/11/2020,119800,212000,1700,139.09,131.09,132.17,120.24,130.6475
9/18/2020,201200,287700,5000,144.08,138.72,132.92,123.69,134.8525
9/25/2020,195500,267500,8700,153.99,137.32,133.06,126.45,137.705
,207200,251400,5900,146.68,138.95,131.33,128.55,136.3775
10/9/2020,228400,272800,4900,140.27,135.97,131.71,122.92,132.7175
10/16/2020,243900,267600,5400,136.73,129.36,129.66,114.45,127.55
10/23/2020,248500,312200,5900,138.45,122.35,118.95,111.76,122.8775
10/30/2020,187500,200700,400,132.5,,126.09,119.07,125.8866667
11/6/2020,222900,268500,4900,136.87,130.26,129.58,125.09,130.45
11/13/2020,305300,390800,5100,139.89,133.28,130.93,125.85,132.4875
11/20/2020,321900,377100,7200,141.07,134.94,131.5,124.73,133.06
11/27/2020,112300,149200,21500,134.35,171.45,127.02,123.79,139.1525
12/4/2020,278600,373100,5000,143.6,142.71,131.11,122.11,134.8825
12/11/2020,354700,390200,6600,152.11,147.58,136.74,123.99,140.105
12/18/2020,237200,305900,4100,145.99,128.24,140.04,121.53,133.95
1/9/2021,349800,477400,6600,159.51,138.46,133.92,125.48,139.3425
1/16/2021,313400,534500,6100,151.51,140.56,136.12,127.49,138.92
1/23/2021,306300,386300,4100,151.49,129.48,133.81,120.98,133.94
1/30/2021,194100,292400,6200,136.86,132.04,144.77,126.02,134.9225
2/6/2021,225100,270200,6400,158.98,155.13,140.53,130.62,146.315
2/13/2021,130500,208300,4200,145.76,136.98,129.86,128.01,135.1525
2/20/2021,77600,97800,0,,,,,#DIV/0!
2/27/2021,216800,300200,3800,,147.11,,127.7,137.405
3/6/2021,282800,352400,7400,149.17,140.04,135.07,134.82,139.775
3/13/2021,303200,394000,7600,141.39,138.96,132.98,125.82,134.7875
3/20/2021,164400,229700,5700,142.6,136.2,135.17,130.81,136.195
3/27/2021,201200,276500,4500,148.97,145.12,136.75,138.13,142.2425
4/3/2021,193300,257000,6200,,139.27,122.78,128.33,130.1266667
4/12/2021,228200,343600,7800,147.94,151.34,141.97,136.42,144.4175
4/17/2021,217500,291800,6700,153.27,139.82,136.73,129.64,139.865
4/24/2021,181600,277900,5500,166.56,141.45,126.67,130.46,141.285
5/1/2021,152900,182900,4500,148.2,143.84,130.44,133.25,138.9325
5/8/2021,144700,253500,4600,134.11,136.89,126.22,128.71,131.4825
5/15/2021,146300,194800,3700,144.23,145.48,133.2,130.03,138.235
5/21/2021,159400,227200,3200,143.29,134.92,130.87,122.8,132.97
5/28/2021,150800,194500,3000,148.65,134.59,129.4,124.8,134.36
6/5/2021,106800,177300,1600,145.81,135.25,126.67,124.68,133.1025
6/12/2021,181400,282300,4500,146.05,135.87,129.63,126.54,134.5225
6/19/2021,181400,282300,4100,162.08,143.43,143,135.54,146.0125
6/26/2021,141100,214500,4400,160.04,146.47,136.12,135.47,144.525
7/3/2021,94600,158400,1800,151.16,,144.06,,147.61
7/9/2021,88200,366700,900,166.96,137.97,143.44,129.5,144.4675
7/16/2021,166500,443600,6200,158.53,148.57,146.21,137.99,147.825
7/23/2021,146500,394100,3000,162.78,147.37,152.62,140.26,150.7575
7/30/2021,134900,203600,3600,157.54,150.8,146.15,137.67,148.04
8/6/2021,174200,437400,3700,164.97,150.97,150.47,138.26,151.1675
8/13/2021,147800,74000,6000,165.07,152.41,144.27,137.86,149.9025
8/21/2021,144600,439900,2800,158.95,154.39,152.23,135.38,150.2375
8/28/2021,159800,291900,3800,165.96,158.03,149.95,139.05,153.2475
9/4/2021,136500,179900,2500,161.29,144.04,145.8,130.15,145.32
9/11/2021,138600,249800,3600,153.2,152.89,142.74,137.77,146.65
9/18/2021,182400,263300,5700,155.57,141.26,143.99,133.53,143.5875
9/25/2021,186600,243100,5700,162.4,143.91,143.87,130.17,145.0875
10/2/2021,195800,218900,5400,157.92,149.23,140.06,130.64,144.4625
10/9/2021,219800,264400,4800,164.93,147.19,146.91,130.35,147.345
10/16/2021,218500,250800,6100,155.01,149.5,143.5,127.78,143.9475
10/23/2021,278500,321700,6400,160.08,151.41,141.16,130,145.6625
10/30/2021,265700,298900,5800,159.48,151.32,144.47,134.89,147.54
11/6/2021,297900,349900,5200,160.63,149.75,135.7,129.74,143.955
11/13/2021,312800,339100,6000,157,155.85,146.76,133.64,148.3125
11/20/2021,273100,324600,6500,160.64,150.34,143.5,134.33,147.2025
11/27/2021,82400,93800,,,,,,#DIV/0!
