DATE,ALFAFA_HAY_PPI
11/1/2017,273.9
12/1/2017,294.1
1/1/2018,311.2
2/1/2018,307.6
3/1/2018,313.1
4/1/2018,308.2
5/1/2018,315.7
6/1/2018,332
7/1/2018,302.5
8/1/2018,309.6
9/1/2018,305.8
10/1/2018,312.8
11/1/2018,327.6
12/1/2018,352.6
1/1/2019,318.2
2/1/2019,351.7
3/1/2019,328.9
4/1/2019,342.5
5/1/2019,343.4
6/1/2019,323.5
7/1/2019,310.4
8/1/2019,303.4
9/1/2019,308.4
10/1/2019,323.9
11/1/2019,306.4
12/1/2019,310.6
1/1/2020,328.6
2/1/2020,323.4
3/1/2020,310.6
4/1/2020,327.6
5/1/2020,296.5
6/1/2020,308.4
7/1/2020,298.3
8/1/2020,294.4
9/1/2020,280.2
10/1/2020,295
11/1/2020,319.2
12/1/2020,323.1
1/1/2021,322.7
2/1/2021,322.8
3/1/2021,326.9
4/1/2021,336.8
5/1/2021,338
6/1/2021,359.8
7/1/2021,383.168
8/1/2021,388.118
9/1/2021,420.998
10/1/2021,426.823
11/1/2021,437.996
12/1/2021,430.813
1/1/2022,456.182
2/1/2022,475.218
3/1/2022,519.2
4/1/2022,493.172
5/1/2022,530.978
6/1/2022,522.646
7/1/2022,540.491
8/1/2022,529.945
9/1/2022,524.925
10/1/2022,527.325
11/1/2022,510.172
12/1/2022,536.543
1/1/2023,527.127
2/1/2023,613.824
3/1/2023,521.546
4/1/2023,477.099
5/1/2023,488.145
6/1/2023,440.306
7/1/2023,415.362
8/1/2023,355.27
9/1/2023,387.377
10/1/2023,380.815
11/1/2023,363.298
12/1/2023,328.424
1/1/2024,278.727
2/1/2024,325.703
3/1/2024,340.233
4/1/2024,329.383
5/1/2024,373.716
6/1/2024,319.713
7/1/2024,341.749
8/1/2024,270.301
9/1/2024,324.036
10/1/2024,302.557
11/1/2024,277.001
12/1/2024,296.084
1/1/2025,291.537
2/1/2025,291.059
