DATE,CPI_US
11/1/2017,246.669
12/1/2017,246.524
1/1/2018,247.867
2/1/2018,248.991
3/1/2018,249.554
4/1/2018,250.546
5/1/2018,251.588
6/1/2018,251.989
7/1/2018,252.006
8/1/2018,252.146
9/1/2018,252.439
10/1/2018,252.885
11/1/2018,252.038
12/1/2018,251.233
1/1/2019,251.712
2/1/2019,252.776
3/1/2019,254.202
4/1/2019,255.548
5/1/2019,256.092
6/1/2019,256.143
7/1/2019,256.571
8/1/2019,256.558
9/1/2019,256.759
10/1/2019,257.346
11/1/2019,257.208
12/1/2019,256.974
1/1/2020,257.971
2/1/2020,258.678
3/1/2020,258.115
4/1/2020,256.389
5/1/2020,256.394
6/1/2020,257.797
7/1/2020,259.101
8/1/2020,259.198
9/1/2020,260.28
10/1/2020,260.388
11/1/2020,260.229
12/1/2020,260.474
1/1/2021,261.582
2/1/2021,263.014
3/1/2021,264.877
4/1/2021,267.054
5/1/2021,269.195
6/1/2021,271.696
7/1/2021,273.003
8/1/2021,273.567
9/1/2021,274.31
10/1/2021,276.589
11/1/2021,277.948
12/1/2021,278.802
1/1/2022,281.148
2/1/2022,283.716
3/1/2022,287.504
4/1/2022,289.109
5/1/2022,292.296
6/1/2022,296.311
7/1/2022,296.276
8/1/2022,296.171
9/1/2022,296.808
10/1/2022,298.012
11/1/2022,297.711
12/1/2022,296.797
1/1/2023,299.17
2/1/2023,300.84
3/1/2023,301.836
4/1/2023,303.363
5/1/2023,304.127
6/1/2023,305.109
7/1/2023,305.691
8/1/2023,307.026
9/1/2023,307.789
10/1/2023,307.671
11/1/2023,307.051
12/1/2023,306.746
1/1/2024,308.417
2/1/2024,310.326
3/1/2024,312.332
4/1/2024,313.548
5/1/2024,314.069
6/1/2024,314.175
7/1/2024,314.54
8/1/2024,314.796
9/1/2024,315.301
10/1/2024,315.664
11/1/2024,315.493
12/1/2024,315.605
1/1/2025,317.671
2/1/2025,317.671
