DATE,FEDERAL_INTEREST_RATE
11/1/2017,1.15
11/8/2017,1.16
11/15/2017,1.16
11/22/2017,1.16
11/29/2017,1.16
12/6/2017,1.15
12/13/2017,1.16
12/20/2017,1.41
12/27/2017,1.42
1/3/2018,1.37
1/10/2018,1.42
1/17/2018,1.42
1/24/2018,1.42
1/31/2018,1.41
2/7/2018,1.42
2/14/2018,1.42
2/21/2018,1.42
2/28/2018,1.41
3/7/2018,1.42
3/14/2018,1.42
3/21/2018,1.43
3/28/2018,1.68
4/4/2018,1.68
4/11/2018,1.69
4/18/2018,1.69
4/25/2018,1.7
5/2/2018,1.7
5/9/2018,1.7
5/16/2018,1.7
5/23/2018,1.7
5/30/2018,1.7
6/6/2018,1.7
6/13/2018,1.7
6/20/2018,1.9
6/27/2018,1.92
7/4/2018,1.91
7/11/2018,1.91
7/18/2018,1.91
7/25/2018,1.91
8/1/2018,1.91
8/8/2018,1.91
8/15/2018,1.91
8/22/2018,1.92
8/29/2018,1.92
9/5/2018,1.91
9/12/2018,1.92
9/19/2018,1.92
9/26/2018,1.92
10/3/2018,2.18
10/10/2018,2.18
10/17/2018,2.18
10/24/2018,2.19
10/31/2018,2.2
11/7/2018,2.2
11/14/2018,2.19
11/21/2018,2.2
11/28/2018,2.2
12/5/2018,2.2
12/12/2018,2.19
12/19/2018,2.19
12/26/2018,2.4
1/2/2019,2.4
1/9/2019,2.4
1/16/2019,2.4
1/23/2019,2.4
1/30/2019,2.4
2/6/2019,2.4
2/13/2019,2.4
2/20/2019,2.4
2/27/2019,2.4
3/6/2019,2.4
3/13/2019,2.4
3/20/2019,2.4
3/27/2019,2.41
4/3/2019,2.42
4/10/2019,2.41
4/17/2019,2.41
4/24/2019,2.44
5/1/2019,2.44
5/8/2019,2.4
5/15/2019,2.38
5/22/2019,2.39
5/29/2019,2.38
6/5/2019,2.39
6/12/2019,2.37
6/19/2019,2.37
6/26/2019,2.38
7/3/2019,2.4
7/10/2019,2.41
7/17/2019,2.39
7/24/2019,2.41
7/31/2019,2.4
8/7/2019,2.13
8/14/2019,2.12
8/21/2019,2.13
8/28/2019,2.12
9/4/2019,2.13
9/11/2019,2.13
9/18/2019,2.19
9/25/2019,1.9
10/2/2019,1.85
10/9/2019,1.82
10/16/2019,1.84
10/23/2019,1.85
10/30/2019,1.83
11/6/2019,1.57
11/13/2019,1.55
11/20/2019,1.55
11/27/2019,1.55
12/4/2019,1.56
12/11/2019,1.55
12/18/2019,1.55
12/25/2019,1.55
1/1/2020,1.55
1/8/2020,1.55
1/15/2020,1.54
1/22/2020,1.55
1/29/2020,1.55
2/5/2020,1.59
2/12/2020,1.58
2/19/2020,1.58
2/26/2020,1.58
3/4/2020,1.51
3/11/2020,1.09
3/18/2020,0.74
3/25/2020,0.15
4/1/2020,0.09
4/8/2020,0.05
4/15/2020,0.05
4/22/2020,0.05
4/29/2020,0.04
5/6/2020,0.05
5/13/2020,0.05
5/20/2020,0.05
5/27/2020,0.05
6/3/2020,0.05
6/10/2020,0.07
6/17/2020,0.08
6/24/2020,0.09
7/1/2020,0.08
7/8/2020,0.09
7/15/2020,0.09
7/22/2020,0.09
7/29/2020,0.09
8/5/2020,0.1
8/12/2020,0.1
8/19/2020,0.1
8/26/2020,0.09
9/2/2020,0.09
9/9/2020,0.09
9/16/2020,0.09
9/23/2020,0.09
9/30/2020,0.09
10/7/2020,0.09
10/14/2020,0.09
10/21/2020,0.09
10/28/2020,0.09
11/4/2020,0.09
11/11/2020,0.09
11/18/2020,0.09
11/25/2020,0.08
12/2/2020,0.08
12/9/2020,0.09
12/16/2020,0.09
12/23/2020,0.09
12/30/2020,0.09
1/6/2021,0.09
1/13/2021,0.09
1/20/2021,0.09
1/27/2021,0.08
2/3/2021,0.07
2/10/2021,0.08
2/17/2021,0.08
2/24/2021,0.07
3/3/2021,0.07
3/10/2021,0.07
3/17/2021,0.07
3/24/2021,0.07
3/31/2021,0.07
4/7/2021,0.07
4/14/2021,0.07
4/21/2021,0.07
4/28/2021,0.07
5/5/2021,0.06
5/12/2021,0.06
5/19/2021,0.06
5/26/2021,0.06
6/2/2021,0.05
6/9/2021,0.06
6/16/2021,0.06
6/23/2021,0.1
6/30/2021,0.1
7/7/2021,0.1
7/14/2021,0.1
7/21/2021,0.1
7/28/2021,0.1
8/4/2021,0.09
8/11/2021,0.1
8/18/2021,0.1
8/25/2021,0.09
9/1/2021,0.08
9/8/2021,0.08
9/15/2021,0.08
9/22/2021,0.08
9/29/2021,0.08
10/6/2021,0.08
10/13/2021,0.08
10/20/2021,0.08
10/27/2021,0.08
11/3/2021,0.08
11/10/2021,0.08
11/17/2021,0.08
11/24/2021,0.08
12/1/2021,0.08
12/8/2021,0.08
12/15/2021,0.08
12/22/2021,0.08
12/29/2021,0.08
1/5/2022,0.08
1/12/2022,0.08
1/19/2022,0.08
1/26/2022,0.08
2/2/2022,0.08
2/9/2022,0.08
2/16/2022,0.08
2/23/2022,0.08
3/2/2022,0.08
3/9/2022,0.08
3/16/2022,0.08
3/23/2022,0.33
3/30/2022,0.33
4/6/2022,0.33
4/13/2022,0.33
4/20/2022,0.33
4/27/2022,0.33
5/4/2022,0.33
5/11/2022,0.83
5/18/2022,0.83
5/25/2022,0.83
6/1/2022,0.83
6/8/2022,0.83
6/15/2022,0.83
6/22/2022,1.58
6/29/2022,1.58
7/6/2022,1.58
7/13/2022,1.58
7/20/2022,1.58
7/27/2022,1.58
8/3/2022,2.33
8/10/2022,2.33
8/17/2022,2.33
8/24/2022,2.33
8/31/2022,2.33
9/7/2022,2.33
9/14/2022,2.33
9/21/2022,2.33
9/28/2022,3.08
10/5/2022,3.08
10/12/2022,3.08
10/19/2022,3.08
10/26/2022,3.08
11/2/2022,3.08
11/9/2022,3.83
11/16/2022,3.83
11/23/2022,3.83
11/30/2022,3.83
12/7/2022,3.83
12/14/2022,3.83
12/21/2022,4.33
12/28/2022,4.33
1/4/2023,4.33
1/11/2023,4.33
1/18/2023,4.33
1/25/2023,4.33
2/1/2023,4.33
2/8/2023,4.58
2/15/2023,4.58
2/22/2023,4.58
3/1/2023,4.58
