DATE,US_MXN_RATES
2/7/2025,20.5665
2/6/2025,20.431
2/5/2025,20.566
2/4/2025,20.49
2/3/2025,20.33
1/31/2025,20.678
1/30/2025,20.71
1/29/2025,20.494
1/28/2025,20.533
1/27/2025,20.665
1/24/2025,20.261
1/23/2025,20.374
1/22/2025,20.486
1/21/2025,20.612
1/20/2025,20.475
1/17/2025,20.781
1/16/2025,20.83
1/15/2025,20.4499
1/14/2025,20.506
1/13/2025,20.65
1/10/2025,20.703
1/9/2025,20.48
1/8/2025,20.37
1/7/2025,20.31
1/6/2025,20.3
1/3/2025,20.619
1/2/2025,20.58
1/1/2025,20.836
12/31/2024,20.8197
12/30/2024,20.637
12/27/2024,20.313
12/26/2024,20.236
12/25/2024,20.149
12/24/2024,20.15
12/23/2024,20.1679
12/20/2024,20.051
12/19/2024,20.29
12/18/2024,20.35
12/17/2024,20.167
12/16/2024,20.123
12/13/2024,20.1216
12/12/2024,20.206
12/11/2024,20.11
12/10/2024,20.147
12/9/2024,20.224
12/6/2024,20.187
12/5/2024,20.18
12/4/2024,20.277
12/3/2024,20.3
12/2/2024,20.377
11/29/2024,20.361
11/28/2024,20.41
11/27/2024,20.58
11/26/2024,20.626
11/25/2024,20.28
11/22/2024,20.401
11/21/2024,20.403
11/20/2024,20.255
11/19/2024,20.095
11/18/2024,20.202
11/15/2024,20.301
11/14/2024,20.402
11/13/2024,20.492
11/12/2024,20.581
11/11/2024,20.334
11/8/2024,20.1711
11/7/2024,19.795
11/6/2024,20.08
11/5/2024,20.097
11/4/2024,20.091
11/1/2024,20.267
10/31/2024,20.012
10/30/2024,20.143
10/29/2024,20.048
10/28/2024,20.023
10/25/2024,19.95
10/24/2024,19.792
10/23/2024,19.826
10/22/2024,19.948
10/21/2024,19.967
10/18/2024,19.849
10/17/2024,19.833
10/16/2024,19.85
10/15/2024,19.684
10/14/2024,19.362
10/11/2024,19.256
10/10/2024,19.45
10/9/2024,19.49
10/8/2024,19.331
10/7/2024,19.27
10/4/2024,19.257
10/3/2024,19.34
10/2/2024,19.4
10/1/2024,19.605
9/30/2024,19.678
9/27/2024,19.702
9/26/2024,19.611
9/25/2024,19.624
9/24/2024,19.306
9/23/2024,19.415
9/20/2024,19.404
9/19/2024,19.3
9/18/2024,19.283
9/17/2024,19.092
9/16/2024,19.207
9/13/2024,19.187
9/12/2024,19.51
9/11/2024,19.786
9/10/2024,20.0945
9/9/2024,19.881
9/6/2024,19.969
9/5/2024,19.861
9/4/2024,19.925
9/3/2024,19.7836
9/2/2024,19.812
8/30/2024,19.71
8/29/2024,19.835
8/28/2024,19.6412
8/27/2024,19.75
8/26/2024,19.395
8/23/2024,19.094
8/22/2024,19.516
8/21/2024,19.27
8/20/2024,18.982
8/19/2024,18.656
8/16/2024,18.632
8/15/2024,18.6372
8/14/2024,18.78
8/13/2024,18.997
8/12/2024,19.059
8/9/2024,18.824
8/8/2024,18.86
8/7/2024,19.267
8/6/2024,19.564
8/5/2024,19.332
8/2/2024,19.162
8/1/2024,18.845
7/31/2024,18.6
7/30/2024,18.751
7/29/2024,18.6271
7/26/2024,18.45
7/25/2024,18.4475
7/24/2024,18.354
7/23/2024,18.1397
7/22/2024,17.925
7/19/2024,18.035
7/18/2024,17.948
7/17/2024,17.692
7/16/2024,17.662
7/15/2024,17.725
7/12/2024,17.606
7/11/2024,17.766
7/10/2024,17.8156
7/9/2024,17.918
7/8/2024,17.996
7/5/2024,18.0925
7/4/2024,18.077
7/3/2024,18.1592
7/2/2024,18.248
7/1/2024,18.337
6/28/2024,18.33
6/27/2024,18.419
6/26/2024,18.325
6/25/2024,18.0932
6/24/2024,17.938
6/21/2024,18.1
6/20/2024,18.3454
6/19/2024,18.408
6/18/2024,18.395
6/17/2024,18.508
6/14/2024,18.454
6/13/2024,18.355
6/12/2024,18.73
6/11/2024,18.5706
6/10/2024,18.21
6/7/2024,18.38
6/6/2024,17.97
6/5/2024,17.493
6/4/2024,17.853
6/3/2024,17.671
5/31/2024,16.993
5/30/2024,17.0168
5/29/2024,16.948
5/28/2024,16.7799
5/27/2024,16.645
5/24/2024,16.682
5/23/2024,16.7153
5/22/2024,16.66
5/21/2024,16.62
5/20/2024,16.5536
5/17/2024,16.59
5/16/2024,16.67
5/15/2024,16.6799
5/14/2024,16.833
5/13/2024,16.7991
5/10/2024,16.75
5/9/2024,16.751
5/8/2024,16.895
5/7/2024,16.876
5/6/2024,16.86
5/3/2024,16.96
5/2/2024,16.9653
5/1/2024,16.985
4/30/2024,17.1355
4/29/2024,17.0016
4/26/2024,17.139
4/25/2024,17.195
4/24/2024,17.0556
4/23/2024,16.939
4/22/2024,17.1317
4/19/2024,17.082
4/18/2024,17.075
4/17/2024,16.957
4/16/2024,17.053
4/15/2024,16.723
4/12/2024,16.62
4/11/2024,16.4343
4/10/2024,16.41
4/9/2024,16.3826
4/8/2024,16.313
4/5/2024,16.4497
4/4/2024,16.5829
4/3/2024,16.534
4/2/2024,16.55
4/1/2024,16.6118
3/29/2024,16.531
3/28/2024,16.622
3/27/2024,16.523
3/26/2024,16.635
3/25/2024,16.673
3/22/2024,16.757
3/21/2024,16.7352
3/20/2024,16.6733
3/19/2024,16.802
3/18/2024,16.8253
3/15/2024,16.693
3/14/2024,16.696
3/13/2024,16.6595
3/12/2024,16.7945
3/11/2024,16.779
3/8/2024,16.8089
3/7/2024,16.87
3/6/2024,16.877
3/5/2024,16.9426
3/4/2024,16.96
3/1/2024,17.0108
2/29/2024,17.049
2/28/2024,17.0898
2/27/2024,17.0587
2/26/2024,17.0944
2/23/2024,17.107
2/22/2024,17.098
2/21/2024,17.0382
2/20/2024,17.048
2/19/2024,17.041
2/16/2024,17.051
2/15/2024,17.039
2/14/2024,17.073
2/13/2024,17.175
2/12/2024,17.0644
2/9/2024,17.076
2/8/2024,17.1408
2/7/2024,17.026
